frame,action,actionTime,frameMs,fps,windStrength,windTarget,headLinearSpeed,headAngularSpeed,maxDeviation,maxStaticPenetration,maxFrontStaticPenetration,maxFrontMeshPenetration,finite
126,0,0.341788,2.5789,387.762,0.000000,0.000000,0.000000,0.0000,0.220580,0.003319,0.003319,0.000000,True
127,0,0.344367,2.5072,398.851,0.000000,0.000000,0.000000,0.0000,0.220674,0.003250,0.003250,0.000000,True
128,0,0.346874,2.5144,397.709,0.000000,0.000000,0.000000,0.0000,0.220741,0.003212,0.003212,0.000000,True
129,0,0.349389,2.4804,403.161,0.000000,0.000000,0.000000,0.0000,0.220767,0.003207,0.003207,0.000000,True
130,0,0.351870,2.5077,398.772,0.000000,0.000000,0.000000,0.0000,0.220762,0.003212,0.003212,0.000000,True
131,0,0.354378,2.4810,403.063,0.000000,0.000000,0.000000,0.0000,0.220745,0.003220,0.003220,0.000000,True
132,0,0.356859,2.5421,393.376,0.000000,0.000000,0.000000,0.0000,0.220718,0.003226,0.003226,0.000000,True
133,0,0.359401,2.4928,401.155,0.000000,0.000000,0.000000,0.0000,0.220687,0.003231,0.003231,0.000000,True
134,0,0.361894,2.5763,388.154,0.000000,0.000000,0.000000,0.0000,0.220665,0.003230,0.003230,0.000000,True
135,0,0.364471,2.5050,399.202,0.000000,0.000000,0.000000,0.0000,0.220639,0.003228,0.003228,0.000000,True
136,0,0.366976,2.5809,387.462,0.000000,0.000000,0.000000,0.0000,0.220663,0.003219,0.003219,0.000000,True
137,0,0.369558,2.6897,371.789,0.000000,0.000000,0.000000,0.0000,0.220694,0.003209,0.003209,0.000000,True
138,0,0.372248,2.5725,388.727,0.000000,0.000000,0.000000,0.0000,0.220766,0.003196,0.003196,0.000000,True
139,0,0.374821,2.5272,395.695,0.000000,0.000000,0.000000,0.0000,0.220867,0.003177,0.003177,0.000000,True
140,0,0.377349,2.5458,392.804,0.000000,0.000000,0.000000,0.0000,0.220984,0.003156,0.003156,0.000000,True
141,0,0.379895,2.5080,398.724,0.000000,0.000000,0.000000,0.0000,0.221097,0.003133,0.003133,0.000000,True
